"id";"uri";"urlDocumentoPauta";"dataHoraInicio";"dataHoraFim";"situacao";"descricao";"descricaoTipo";"localExterno";"localCamara.nome";"localCamara.predio";"localCamara.sala";"localCamara.andar"
"37875";"https://dadosabertos.camara.leg.br/api/v2/eventos/37875";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1295159";"2014-12-22T14:05:00";"2014-12-22T18:03:00";"Encerrada";"SESSÃO NÃO DELIBERATIVA DE DEBATES";"Sessão Não Deliberativa de Debates";"";"Plenário da Câmara dos Deputados";"";"";""
"37828";"https://dadosabertos.camara.leg.br/api/v2/eventos/37828";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1293805";"2014-12-19T10:10:00";"2014-12-19T13:00:00";"Encerrada";"Debater a reforma Agrária e a atual situação dos assentamentos, a morosidade da legalização de Títulos Fundiários e os impactos e desdobramentoes da Operação Terra Prometida da Polícia Federal.

Requerimento 503/14 de autoria do Deputado Nilson Leitão.

Convidados: 
- Representante da Assembleia Legislativa do Mato Grosso;
- Representante do Ministério Público Federal;
- Representante do Ministério da Agricultura;
- Representante do Ministério do Desenvolvimento Agrário;
- Representante do Instituto Nacional Cidadania e Reforma Agrária;
- Representante da FAMATO;
- Representante da FETAGRI;
- Representante da APROSOJA;
- Representante da Frente Parlamentar da Agricultura - FPA; e
- Representante da Polícia Federal / MJ.";"Mesa Redonda";"Assembléia Legislativa de Mato Grosso";"";"";"";""
"37871";"https://dadosabertos.camara.leg.br/api/v2/eventos/37871";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1294979";"2014-12-19T09:29:00";"2014-12-19T11:18:00";"Encerrada";"SESSÃO NÃO DELIBERATIVA DE DEBATES";"Sessão Não Deliberativa de Debates";"";"Plenário da Câmara dos Deputados";"";"";""
"37865";"https://dadosabertos.camara.leg.br/api/v2/eventos/37865";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1294645";"2014-12-18T14:00:00";"2014-12-18T18:58:00";"Encerrada";"SESSÃO NÃO DELIBERATIVA DE DEBATES";"Sessão Não Deliberativa de Debates";"";"Plenário da Câmara dos Deputados";"";"";""
"37816";"https://dadosabertos.camara.leg.br/api/v2/eventos/37816";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1293488";"2014-12-18T10:26:00";"2014-12-18T11:47:00";"Encerrada";"CONVIDADO: Arno Hugo Augustin Filho - Secretário do Tesouro Nacional (STN)

TEMA: Em atendimento ao disposto no art. 9º, § 4º da Lei Complementar nº 101, de 2000 - Lei de Responsabilidade Fiscal, o palestrante prestará esclarecimentos sobre o cumprimento das metas fiscais referente ao segundo e terceiro quadrimestre de 2012; primeiro, segundo e terceiro quadrimestre de 2013 e primeiro e segundo quadrimestre de 2014.";"Audiência Pública";"";"Anexo II, Plenário 02";"";"";""
"37779";"https://dadosabertos.camara.leg.br/api/v2/eventos/37779";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1292371";"2014-12-18T10:14:00";"2014-12-18T12:02:00";"Encerrada (Final)";"CRIAÇÃO DO PARQUE URBANO BARÃO GERALDO EM CAMPINAS-SP

- Requerimento nº 339/2014, dos Deputados Maria Lúcia Prandi e Renato Simões

EXPOSITORES:

- ROBERTO RICARDO VIZENTIN, Presidente do ICMBio -Instituto Chico Mendes de Conservação da Biodiversidae.

- ROGÉRIO MENEZES DE MELLO,Secretário do Verde, Meio Ambiente e do Desenvolvimento Sustentável da Prefeitura Municipal de Campinas-SP 

-  MANUEL ROSA BUENO, Coordenador do Movimento Popular para criação do Parque de Barão Geraldo";"Audiência Pública";"";"Anexo II, Plenário 08";"";"";""
"37864";"https://dadosabertos.camara.leg.br/api/v2/eventos/37864";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1294644";"2014-12-18T09:16:00";"2014-12-18T13:03:00";"Encerrada (Final)";"Sessão Deliberativa Extraordinária";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"37863";"https://dadosabertos.camara.leg.br/api/v2/eventos/37863";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1294599";"2014-12-17T20:12:00";"2014-12-17T22:25:00";"Encerrada (Final)";"Sessão Deliberativa Extraordinária";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"37860";"https://dadosabertos.camara.leg.br/api/v2/eventos/37860";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1294566";"2014-12-17T18:29:00";"2014-12-17T20:12:00";"Encerrada (Final)";"Sessão Deliberativa Extraordinária";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"37845";"https://dadosabertos.camara.leg.br/api/v2/eventos/37845";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1294369";"2014-12-17T14:35:00";"2014-12-17T18:28:00";"Encerrada (Final)";"Sessão Deliberativa Extraordinária";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"37771";"https://dadosabertos.camara.leg.br/api/v2/eventos/37771";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1292295";"2014-12-17T15:01:00";"2014-12-17T17:00:00";"Encerrada (Final)";"Tratar sobre o Programa de Aquisição de Alimentos - PAA, modalidade de Incentivo à Produção e ao Consumo de Leite, nas áreas afligidas pela seca.

Requeriemento 504/12 Deputado Domingos Neto.
Convidados: 

	Sr. Arnoldo Campos, Secretário Nacional de Segurança Alimentar e Nutricional, do Ministério do Desenvolvimento Social e Combate à fome.
	Sra. Helena Selma Azevedo, Professora do Curso de Economia Doméstica na Universidade Federal do Ceará. Ex-presidente do CONSEA/CE e, coordena a Câmara Temática de Produção e Abastecimento, onde o PAA é um dos programas acompanhados.
	Sr. Francisco Augusto de Souza Júnior, Presidente da Agência de Defesa Agropecuária do estado do Ceará - ADAGRI 
	Sr. Márcio José Alves Peixoto, Coordenador de Apoio às cadeias produtivas da pecuária.
	Sr. Agamenon Leite Coutinho, representante de laticínios dos estados abrangidos pelo PAA.";"Audiência Pública";"";"Anexo II, Plenário 13";"";"";""
"37814";"https://dadosabertos.camara.leg.br/api/v2/eventos/37814";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1293486";"2014-12-17T14:30:00";"";"Cancelada";"Reunião Deliberativa Extraordinária";"Reunião Deliberativa";"";"Anexo II, Plenário 02";"";"";""
