"id";"uri";"urlDocumentoPauta";"dataHoraInicio";"dataHoraFim";"situacao";"descricao";"descricaoTipo";"localExterno";"localCamara.nome";"localCamara.predio";"localCamara.sala";"localCamara.andar"
"54417";"https://dadosabertos.camara.leg.br/api/v2/eventos/54417";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1700914";"2018-12-19T10:00:00";"";"Encerrada (Termo)";"Reunião Deliberativa Ordinária";"Reunião Deliberativa";"";"Anexo II, Plenário 09";"";"";""
"54420";"https://dadosabertos.camara.leg.br/api/v2/eventos/54420";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1700880";"2018-12-19T10:00:00";"";"Encerrada (Termo)";"Reunião Deliberativa Ordinária";"Reunião Deliberativa";"";"Anexo II, Plenário 13";"";"";""
"54423";"https://dadosabertos.camara.leg.br/api/v2/eventos/54423";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1701596";"2018-12-19T10:00:00";"";"Encerrada (Termo)";"Reunião Ordinária Não Deliberativa de encerramento dos trabalhos da Comissão de Viação e Transportes em 2018.";"Reunião";"";"Anexo II, Plenário 11";"";"";""
"54440";"https://dadosabertos.camara.leg.br/api/v2/eventos/54440";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1701322";"2018-12-18T14:30:00";"";"Encerrada (Termo)";"- Discussão e Votação do Parecer";"Reunião Deliberativa";"";"Anexo II, Plenário 03";"";"";""
"54453";"https://dadosabertos.camara.leg.br/api/v2/eventos/54453";"";"2018-12-18T14:00:00";"";"Encerrada (Termo)";"Sessão Não Deliberativa de Debates";"Sessão Não Deliberativa de Debates";"";"Plenário da Câmara dos Deputados";"";"";""
"54452";"https://dadosabertos.camara.leg.br/api/v2/eventos/54452";"";"2018-12-18T09:58:00";"2018-12-18T12:05:00";"Encerrada";"Homenagem aos Setenta Anos da Extensão Rural";"Sessão Não Deliberativa Solene";"";"Plenário da Câmara dos Deputados";"";"";""
"54356";"https://dadosabertos.camara.leg.br/api/v2/eventos/54356";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1700556";"2018-12-18T09:40:23";"2018-12-18T11:57:25";"Encerrada (Final)";"- Requerimento nº 277/2018  -  do Deputado Nilto Tatto (PT/SP) e da Deputada Erika Kokay (PT/DF)

EXPOSITORES:

- FABIANA CRISTINA TAVARES TORQUATO, Superintendente da SPU/DF - Secretaria do Patrimônio da União no Distrito Federal *

- MAURICIO LAXE, Chefe da Área de Proteção Ambiental do Planalto Central do ICMBio - Instituto Chico Mendes de Conservação da Biodiversidade *

- CARLOS TADEU CASTRO GOMES, Presidente da Asproeste - Associação dos Produtores do Núcleo Rural Lago Oeste *

- ANTONIO QUEIROZ BARRETO, Superintendente de Licenciamento do Ibram - Instituto Brasília Ambiental *

- JÚLIO CÉSAR REIS, Presidente da Terracap - Agência de Desenvolvimento do Distrito Federal *

SARNEY FILHO, Deputado Federal, ex-ministro do Meio Ambiente e futuro Secretário de Meio Ambiente do Distrito Federal **

- REPRESENTANTE, da Prodema/MPDFT - Promotoria de Justiça de Defesa do Meio Ambiente e do Patrimônio Cultural do Ministério Público do Distrito Federal e Territórios **

(*) presença confirmada
(**) não virá";"Audiência Pública";"";"Anexo II, Plenário 08";"";"";""
"54301";"https://dadosabertos.camara.leg.br/api/v2/eventos/54301";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1697131";"2018-12-18T09:30:00";"";"Cancelada";"PALESTRANTE:

LUIZ ANTONIO FERREIRA
Diretor-presidente substituto da Empresa Brasil de Comunicação (EBC)";"Audiência Pública";"";"Anexo II, Plenário 13";"";"";""
"54451";"https://dadosabertos.camara.leg.br/api/v2/eventos/54451";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1701682";"2018-12-17T19:00:00";"2018-12-17T21:30:00";"Encerrada (Final)";"PROGRAMAÇÃO
Data: 17/12/2018
Local: Auditório Mauro Mattos (Rural ITR)
19 horas - Abertura
- Composição da Mesa
19h30- Apresentação cultural:
Projeto Musical Eu Não Espero Acontecer
19h40 - Painel 1: Oportunidades e Desafios do programa de Jovem Aprendiz
Eliane Alves Esteves - Representante conselho Tutelar de Três Rios
Mafra Merys - Presidente do Instituto Solidário Estudantil do Empreendedor Individual - ISEEI
Ricardo Luiz Louro Berbara - Reitor da Universidade Federal Rural do Rio de Janeiro;
20h30 - Painel 2: Os programas de aprendizagem nas administrações municipais do sul do Rio de Janeiro
Jorge José Tavares - Supervisor Região Serrana CIEE
Josimar Bento Salles - Prefeito do Município de Três Rios;
Valter Luiz Lavinas - Prefeito do Município de Comendador Levy Gasparian;
Alessandro Cronge Bouzada - Prefeito do Município de Paraíba do Sul;
Flávio Magdalena Bravo - Prefeito do Município de Areal;
Fabrício dos Santos Baião - Prefeito do Município de Sapucaia;
21h30 - Encerramento
21h40- Apresentação cultural:
Projeto Musical Eu Não Espero Acontecer

REQUERIMENTO Nº 230/2018 - do Sr. Celso Jacob";"Seminário";"Município de Três Rios/RJ - Auditório Mauro Mattos";"";"";"";""
"54448";"https://dadosabertos.camara.leg.br/api/v2/eventos/54448";"";"2018-12-17T14:00:00";"";"Encerrada(Comunicado)";"Sessão Não Deliberativa de Debates";"Sessão Não Deliberativa de Debates";"";"Plenário da Câmara dos Deputados";"";"";""
