"id";"uri";"urlDocumentoPauta";"dataHoraInicio";"dataHoraFim";"situacao";"descricao";"descricaoTipo";"localExterno";"localCamara.nome";"localCamara.predio";"localCamara.sala";"localCamara.andar"
"46250";"https://dadosabertos.camara.leg.br/api/v2/eventos/46250";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1519692";"2016-12-22T14:00:00";"";"Encerrada(Comunicado)";"Sessão Não Deliberativa de Debates";"Sessão Não Deliberativa de Debates";"";"Plenário da Câmara dos Deputados";"";"";""
"46247";"https://dadosabertos.camara.leg.br/api/v2/eventos/46247";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1519179";"2016-12-21T15:00:00";"";"Encerrada (Termo)";"Tema: Reunião para debater a situação das Escolas Parque à luz da Portaria do MEC nº 1144/2016 e da Resolução Nº 05, do MEC e do FNDE. . 


Convidados:


- Sra. IVANA FARINA, Presidente do Conselho Nacional de Direitos Humanos - CNDH; (confirmada)

- Sr. FÁBIO PAES, Presidente do Conselho Nacional dos Direitos da Criança e do Adolescente; (confirmado)

- Sr. MICHEL PLATINI, Presidente do Conselho Distrital de Promoção e Defesa dos Direitos Humanos do DF; (confirmado)

- Sr. WISLEY PEREIRA, Coordenador-Geral de Ensino Médio, da Secretaria de Educação Básica do Ministério da Educação. 

- Sra. VANUZA SALES, Presidente do Conselho Regional de Psicologia; (confirmada)

- Sr. RODRIGO LAMEGO DE TEIXEIRA SOARES, Chefe de Gabinete da Presidência do Fundo Nacional de Desenvolvimento da Educação - FNDE; (confirmado)

- Sr. JULIANO COSTA COUTO, Presidente da Ordem dos Advogados do DF - OAB - DF; (confirmado)

- Sr. FÁBIO FÉLIX, Presidente do Conselho dos Direitos da Criança e do Adolescente - CDCA; (confirmado)

- Sr. ÁLVARO MOREIRA JÚNIOR, Presidente Conselho de Educação do DF; (confirmado)

- Sra. ANA LÚCIA MARQUES, Coordenadora Regional do Plano Piloto Secretaria de Educação do DF; (confirmada)

- Secretaria de Políticas para Criança, Adolescente e Juventude do DF 

- Associação dos Agentes Comunitários de Leitura (Mala do Livro)

- Sindicato dos Professores no DF - SINPRO-DF;

- Pastoral do Menor

- Diretores de Escolas Parque do DF

- Associação dos Arte-Educadores do Distrito Federal;

- Sociedade Maranhense de Direitos Humanos;



Reunião solicitada pela Deputada Érika Kokay PT/DF";"Outro Evento";"";"Anexo II, Plenário 09";"";"";""
"46249";"https://dadosabertos.camara.leg.br/api/v2/eventos/46249";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1519417";"2016-12-21T14:00:00";"";"Encerrada(Comunicado)";"Sessão Não Deliberativa de Debates";"Sessão Não Deliberativa de Debates";"";"Plenário da Câmara dos Deputados";"";"";""
"46209";"https://dadosabertos.camara.leg.br/api/v2/eventos/46209";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1518007";"2016-12-21T10:00:00";"";"Cancelada";"Reunião Deliberativa Ordinária";"Reunião Deliberativa";"";"Anexo II, Plenário 10";"";"";""
"46236";"https://dadosabertos.camara.leg.br/api/v2/eventos/46236";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1518503";"2016-12-20T14:30:00";"";"Encerrada (Termo)";"Reunião Deliberativa Ordinária";"Reunião Deliberativa";"";"Anexo II, Plenário 01";"";"";""
"46245";"https://dadosabertos.camara.leg.br/api/v2/eventos/46245";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1519216";"2016-12-20T14:17:00";"2016-12-20T18:24:00";"Encerrada";"Sessão Deliberativa Extraordinária";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"46041";"https://dadosabertos.camara.leg.br/api/v2/eventos/46041";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1515665";"2016-12-20T11:00:00";"";"Cancelada";"Debater os programas de privatização e formas de captação de recursos privados para o saneamento básico no Brasil.


Convidado:

SENHOR GILSON CASSINI
Presidente do Sistema Nacional das Indústrias de Equipamentos para Saneamento Básico e Ambiental - SINDESAM;

Em atendimento ao Requerimento CDU nº 133/2016, do Deputado Jaime Martins,  aprovado em 9 de novembro de 2016.";"Audiência Pública";"";"Anexo II, Plenário 16";"";"";""
"46233";"https://dadosabertos.camara.leg.br/api/v2/eventos/46233";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1518069";"2016-12-20T10:00:00";"";"Cancelada";"Reunião Deliberativa Ordinária";"Reunião Deliberativa";"";"Anexo II, Plenário 16";"";"";""
"46242";"https://dadosabertos.camara.leg.br/api/v2/eventos/46242";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1519099";"2016-12-20T09:17:00";"2016-12-20T14:17:00";"Encerrada (Final)";"Sessão Deliberativa Extraordinária";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"46238";"https://dadosabertos.camara.leg.br/api/v2/eventos/46238";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1518860";"2016-12-19T18:00:00";"2016-12-19T21:59:00";"Encerrada (Final)";"Sessão Deliberativa Extraordinária";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"46237";"https://dadosabertos.camara.leg.br/api/v2/eventos/46237";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1518859";"2016-12-19T14:00:00";"";"Encerrada(Comunicado)";"Sessão Não Deliberativa de Debates";"Sessão Não Deliberativa de Debates";"";"Plenário da Câmara dos Deputados";"";"";""
"45865";"https://dadosabertos.camara.leg.br/api/v2/eventos/45865";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1510623";"2016-12-16T11:00:00";"2016-12-16T14:00:00";"Encerrada (Final)";"""Colher Sugestões para a Proposta do Plano Nacional do Desporto, no âmbito da Subcomissão Especial do Plano Nacional do Desporto e debater suas Metas e Potencialidades""



Requerimento nº 144/2016
Inicativa Deputado Arnaldo Jordy


Mesa de Abertura:

- DEPUTADO ARNALDO JORDY, membro da Comissão do Esporte e Vice-Presidente da Subcomissão Especial do Plano Nacional do Desporto;
- DEPUTADO ROBERTO GÓES, membro da Comissão do Esporte;
- DIEGO FERREIRA TONIETT, Gerente de Projetos do Ministério do Esporte;
- DEPUTADO ESTADUAL MARCIO MIRANDA, Presidente da Assembleia Legislativa do Estado Do Pará; *
- DEPUTADO ESTADUAL CELSO SABINO, Presidente da Comissão de Turismo e Esporte da Assembleia Legislativa do Estado do Pará; *
- RENILCE CONCEIÇÃO DO ESPÍRITO SANTO NICODEMOS LOBO, Secretária de Estado de Esporte e Lazer do Pará; *
- DEIVISON ALVES, Secretário Municipal de Esporte, Juventude e Lazer de Belém/PA. *


Convidados:

- Representantes das prefeituras das cidades da região;
- Representante da Secretaria de Estado de Esporte do Pará;
- Representante dos Secretários e Gestores Municipais de Esporte das cidades da região;
-  Atletas, treinadores, praticantes e interessados na prática esportiva;
- Representantes do meio acadêmico e estudiosos do esporte;
- Representantes das Federações de Esporte Amador.


*presença NÃO confirmada";"Mesa Redonda";"Assembleia Legislativa do Estado do Pará, Rua do Aveiro, n° 130, Cidade Velha, Belém/PA";"";"";"";""
"45970";"https://dadosabertos.camara.leg.br/api/v2/eventos/45970";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1511595";"2016-12-16T09:30:00";"";"Encerrada";"Mesa Redonda da Comissão de Trabalho, de Administração e de Serviço Público para discutir o PL nº 5.256, de 2016, que ""regulamenta a profissão de bugueiro turístico e dá outras providências"".

Requerimento nº 163 de 2016 de autoria do Deputado Rôney Nemer - Relator da Matéria.

Convidados:

Senhor Walter Alves
Deputado Federal PMDB/RN;

Senhor Robinson Mesquita de Faria
Governador do Estado do Rio Grande do Norte;

Senhor Ruy Pereira Gaspar
Secretário de Turismo do Estado do Rio Grande do Norte - SETUR;

Senhor Carlos Eduardo
Prefeito Municipal da Cidade de Natal/RN;

Senhor Carlos Frederico Queiroz
Secretário de Turismo do Município de Natal/RN  - SETUR;

Senhor Felipe Alves 
Vereador do Município de Natal/RN;

Senhor José Odécio Rodrigues Júnior
Presidente da Associação Brasileira da Indústria de Hotéis - ABIH/RN;

Senhor Max Fonseca
Presidente da Associação Brasileira de Bares e Restaurantes -ABRASEL/RN;

Senhor Abdon Gosson
Presidente da Associação Brasileira de Agência de Viagens - ABAV/RN; e 

Senhor Luiz Thiago
Presidente do Sindicato dos Bugueiros Profissionais do Rio Grande do Norte - SINDGUGGY/RN";"Mesa Redonda";"Assembleia Legislativa do Rio Grande do Norte";"";"";"";""
